model,accuracy,mae,rmse,rmsle,poisson_deviance
Baseline lag_24 (val),0.9005293715846995,0.20003699908925318,0.8482191647010342,0.17489022958816283,0.7923403125494416
Baseline lag_24 (test),0.8936916552823315,0.21348474499089254,0.8619571758747034,0.18073883346816008,0.8318298857456418
Baseline lag_168 (val),0.8634377846083788,0.42205288023679416,1.6896490060545717,0.33290198544499877,3.5072870430811616
Baseline lag_168 (test),0.854308970856102,0.450165072859745,1.7193103284353528,0.34556160884343795,3.8026184351828074
Baseline roll_24_mean (val),0.5370987021857924,1.1122456905547964,3.1703347050177717,0.6506620564893169,3.1183667955237055
Baseline roll_24_mean (test),0.5047458447176685,1.1620183596121736,3.0636382361094614,0.6646388240034568,3.1856412040072333
XGBoost Poisson (val),0.8999103483606558,0.2216113417835302,0.8718226250105762,0.17209216300359872,0.24623764726208885
XGBoost SquaredLog (val),0.9010843579234973,0.22960018337116228,1.0737301697288637,0.16995253942533425,0.2680234652658605
XGBoost Poisson (test),0.8936418488160291,0.23635180433102804,0.906614869440626,0.17773352839141388,0.25946729625446985
XGBoost SquaredLog (test),0.8943320241347905,0.2378317100438141,1.0054611508828886,0.17570369996974086,0.28112630888515217
